municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;00:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;01:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;02:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;03:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;04:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;05:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;06:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;07:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;08:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;09:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;10:00:00;0,589433077
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;10:10:00;0,2
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;11:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;12:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;13:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;14:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;15:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;16:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;17:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;18:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;19:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;20:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;21:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;22:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;01/04/2014;23:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;00:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;01:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;02:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;03:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;04:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;05:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;06:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;07:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;08:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;09:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;10:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;11:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;12:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;13:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;14:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;15:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;16:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;17:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;18:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;19:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;20:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;21:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;22:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;02/04/2014;23:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;00:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;01:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;02:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;03:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;04:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;05:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;05:10:00;0,785751498
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;05:20:00;1,378775584
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;06:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;06:10:00;0,2
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;06:20:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;06:30:00;0,2
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;06:40:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:10:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:20:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:30:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:40:00;0,2
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;07:50:00;0,58902
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;08:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;09:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;10:00:00;0
Barreiros;260140901A;PE;Barreiros;-8,813;-35,199;03/04/2014;11:00:00;0
